id,neuron_type,neurotransmitter,role,region,x,y,z
720575940606224318,AN,unknown,sensory,GNG,521172.0,317648.0,231920.0
720575940606633248,unknown,ACH,motor-related,GNG,405324.0,310864.0,178400.0
720575940607749077,unknown,ACH,inter,AVLP,699344.0,234264.0,56920.0
720575940607775106,unknown,ACH,inter,AVLP,702992.0,291440.0,71440.0
720575940608336514,unknown,GLUT,inter,AVLP,691028.0,189916.0,182600.0
720575940608431625,unknown,GABA,inter,AVLP,610680.0,205632.0,109240.0
720575940608615363,olfactory,SER,sensory,AL,617020.0,216468.0,18520.0
720575940608716809,unknown,ACH,motor-related,GNG,626740.0,322056.0,178440.0
720575940609073347,unknown,ACH,inter,WED.AVLP,690148.0,229540.0,85480.0
720575940609190866,Kenyon_Cell,ACH,inter,MB_CA.MB_PED,594592.0,118080.0,169080.0
720575940609260494,unknown,unknown,motor-related,GNG,639784.0,327096.0,121360.0
720575940609282825,ALLN,GABA,inter,AL,631744.0,256160.0,24000.0
720575940609387100,unknown,ACH,inter,AVLP,681632.0,294976.0,88760.0
720575940609522382,unknown,ACH,inter,AMMC.SAD,632640.0,289868.0,35040.0
720575940609633230,unknown,ACH,inter,LH,453080.0,260628.0,122320.0
720575940609673369,unknown,ACH,inter,AMMC.AVLP,408688.0,250336.0,73200.0
720575940609825033,unknown,ACH,inter,AVLP,325848.0,240544.0,101600.0
720575940609891886,ALPN,ACH,inter,AL.MB_CA,593624.0,251712.0,39680.0
720575940609957315,unknown,GABA,inter,GNG,627040.0,334944.0,127240.0
720575940610048981,ALPN,ACH,inter,AL.MB_CA,463108.0,251600.0,17640.0
720575940610076206,unknown,GLUT,inter,IPS,539872.0,334464.0,208240.0
720575940610088883,unknown,GABA,inter,WED,640408.0,324664.0,112640.0
720575940610332024,unknown,ACH,inter,WED.AVLP,430076.0,225528.0,221800.0
720575940610348773,unknown,ACH,inter,AVLP,704948.0,265104.0,69520.0
720575940610450418,unknown,unknown,inter,GNG,535168.0,333952.0,210760.0
720575940610472131,optic_lobe_intrinsic,GLUT,inter,ME,243820.0,225656.0,178800.0
720575940610476145,unknown,GLUT,inter,GNG.IPS,539328.0,335296.0,212160.0
720575940610505006,unknown,ACH,motor-related,AVLP.SAD,640784.0,243464.0,201600.0
720575940610605747,unknown,GABA,inter,AMMC,403540.0,280204.0,125240.0
720575940610669042,unknown,GABA,inter,GNG,529076.0,328340.0,157880.0
720575940610677828,unknown,GABA,motor-related,GNG,410932.0,306660.0,184200.0
720575940610679876,brain_motor_neuron,unknown,motor-related,GNG,405980.0,309988.0,103440.0
720575940610698052,unknown,ACH,inter,GNG.SLP,427248.0,240424.0,129400.0
720575940611343054,Kenyon_Cell,ACH,inter,MB_CA.MB_VL,620144.0,173740.0,143760.0
720575940611503509,unknown,GABA,inter,LH,712340.0,187552.0,110640.0
720575940611531986,unknown,ACH,motor-related,GNG,408644.0,312744.0,126480.0
720575940611644529,unknown,ACH,motor-related,AVLP.GNG,626396.0,209888.0,202600.0
720575940611756723,unknown,SER,motor-related,GNG,610512.0,350624.0,83760.0
720575940611772083,unknown,ACH,motor-related,GNG,417500.0,319972.0,124800.0
720575940611832018,visual,unknown,sensory,NO_CONS,180668.0,273548.0,147760.0
720575940611864243,unknown,ACH,inter,WED,640584.0,269204.0,35840.0
720575940611964330,optic_lobe_intrinsic,ACH,inter,LA.ME,823552.0,254624.0,127000.0
720575940612036837,unknown,GLUT,motor-related,GNG,498312.0,363268.0,133680.0
720575940612054425,unknown,ACH,inter,SAD.WED,630220.0,315860.0,181200.0
720575940612202419,unknown,ACH,inter,LH.SLP,713512.0,206752.0,92240.0
720575940612359343,unknown,GLUT,inter,SPS,487040.0,233888.0,217920.0
720575940612619431,unknown,unknown,inter,SLP.LH,714584.0,185864.0,110600.0
720575940612843634,optic_lobe_intrinsic,ACH,inter,ME,219532.0,193208.0,172520.0
720575940613074394,optic_lobe_intrinsic,GABA,inter,ME,240060.0,226672.0,217440.0
720575940613087218,unknown,ACH,inter,PVLP.AVLP,704908.0,192872.0,151520.0
720575940613099493,unknown,ACH,inter,AVLP,365388.0,154704.0,209360.0
720575940613183717,unknown,ACH,inter,AVLP,696984.0,160696.0,180880.0
720575940613527761,unknown,ACH,inter,GNG,456128.0,273856.0,218760.0
720575940613583001,MBIN,GABA,inter,MB_ML.MB_CA,630624.0,178964.0,159080.0
720575940613686674,olfactory,unknown,sensory,NO_CONS,625004.0,254360.0,24000.0
720575940613707431,unknown,ACH,inter,AVLP,701100.0,262588.0,87160.0
720575940613838289,unknown,ACH,motor-related,GNG.VES,633840.0,323088.0,170640.0
720575940614026390,unknown,GABA,inter,SAD.AMMC,663984.0,315744.0,108360.0
720575940614043699,LHLN,GLUT,inter,LH,713708.0,187692.0,110600.0
720575940614047026,unknown,GABA,inter,LH.SLP,712756.0,189248.0,110560.0
720575940614518690,unknown,ACH,inter,AVLP.ICL,707336.0,220796.0,57880.0
720575940614662517,unknown,ACH,inter,LH.SLP,723648.0,230336.0,101640.0
720575940614710509,unknown,GLUT,inter,AVLP.ME,747932.0,249748.0,153680.0
720575940614730914,unknown,ACH,motor-related,GNG,423192.0,303256.0,183480.0
720575940614815199,unknown,ACH,inter,GNG.IPS,623648.0,340992.0,128120.0
720575940614956072,ALLN,unknown,inter,AL,613108.0,278304.0,65520.0
720575940615000426,unknown,ACH,inter,LH.SMP,678460.0,166252.0,108920.0
720575940615219417,unknown,ACH,motor-related,SPS.IPS,514744.0,185024.0,201920.0
720575940615255993,ALPN,ACH,inter,AL.LH,638136.0,225312.0,22440.0
720575940615385798,unknown,GLUT,motor-related,GNG,432616.0,324248.0,172320.0
720575940615437983,LHLN,GABA,inter,LH,676812.0,198772.0,210560.0
720575940615528678,unknown,GABA,inter,PVLP,639648.0,205696.0,51960.0
720575940615537041,AN,ACH,sensory,GNG.AVLP,542948.0,338864.0,231920.0
720575940615541810,unknown,GABA,inter,SAD,434156.0,309364.0,105280.0
720575940615671106,unknown,ACH,motor-related,GNG,527880.0,370788.0,180720.0
720575940615684582,unknown,ACH,inter,IPS,615424.0,238848.0,210200.0
720575940615723314,unknown,ACH,inter,AVLP,698764.0,253856.0,57520.0
720575940615790658,unknown,GABA,inter,SAD.AMMC,639868.0,318784.0,102680.0
720575940615930299,unknown,GABA,inter,WED,647984.0,320096.0,107760.0
720575940615948610,unknown,ACH,inter,IPS,493772.0,303608.0,184800.0
720575940615957663,unknown,unknown,motor-related,IPS,553932.0,358960.0,199360.0
720575940616019899,unknown,ACH,inter,AVLP,712240.0,254804.0,56280.0
720575940616101789,unknown,ACH,inter,WED.SPS,641888.0,311932.0,62200.0
720575940616127931,unknown,ACH,inter,GNG.PLP,409584.0,170324.0,170080.0
720575940616169578,ALLN,unknown,inter,AL,457196.0,244336.0,62160.0
720575940616353675,unknown,ACH,motor-related,GNG,518360.0,371692.0,174000.0
720575940616450305,unknown,GLUT,inter,IPS.GNG,540672.0,338752.0,206960.0
720575940616486230,ALLN,GABA,inter,AL,608972.0,238340.0,40080.0
720575940616538944,unknown,GABA,inter,WED.SAD,365724.0,179060.0,224080.0
720575940616566133,ALPN,ACH,inter,AL.MB_CA,585375.0,245114.0,680.0
720575940616611001,unknown,ACH,inter,AVLP,341588.0,270776.0,115320.0
720575940616647029,optic_lobe_intrinsic,ACH,inter,ME,238688.0,197400.0,216480.0
720575940616695099,unknown,GLUT,inter,IPS.SPS,535872.0,331776.0,218640.0
720575940616891958,unknown,ACH,inter,LH.SLP,722944.0,212864.0,112760.0
720575940616993478,optic_lobe_intrinsic,GABA,inter,ME,243488.0,208000.0,259000.0
720575940617044948,unknown,ACH,inter,WED.AVLP,434804.0,234964.0,222280.0
720575940617258821,olfactory,unknown,sensory,AL,482348.0,273460.0,39480.0
720575940617321243,Kenyon_Cell,ACH,inter,MB_CA,628776.0,174740.0,143760.0
720575940617371732,unknown,GABA,inter,WED.SAD,369588.0,184108.0,212720.0
720575940617470932,unknown,GLUT,inter,LH,711420.0,183464.0,110600.0
720575940617492821,unknown,GABA,inter,AVLP.PVLP,652692.0,227332.0,37120.0
720575940617493460,unknown,ACH,inter,LH.SLP,728608.0,200512.0,112280.0
720575940617530525,unknown,GABA,inter,VES,450016.0,282112.0,87920.0
720575940617560838,optic_lobe_intrinsic,GABA,inter,ME,212924.0,182264.0,225800.0
720575940617568697,unknown,ACH,motor-related,GNG,525668.0,367180.0,161280.0
720575940617570008,unknown,GABA,inter,LH,713120.0,185688.0,110560.0
720575940617571997,unknown,ACH,inter,LH.AVLP,707852.0,203168.0,92280.0
720575940617917760,ALPN,ACH,inter,AL.LH,588124.0,250924.0,2400.0
720575940618089851,unknown,ACH,inter,WED.AVLP,642256.0,263780.0,28680.0
720575940618129573,unknown,ACH,inter,WED.AVLP,328964.0,225432.0,110600.0
720575940618198721,Kenyon_Cell,ACH,inter,MB_CA.MB_ML,639400.0,169356.0,143760.0
720575940618259269,AN,ACH,sensory,GNG.AVLP,524640.0,335040.0,231920.0
720575940618263174,unknown,GABA,inter,WED.AMMC,426348.0,324960.0,104360.0
720575940618342966,unknown,GABA,inter,WED,531460.0,325868.0,207080.0
720575940618382529,unknown,ACH,motor-related,IPS.SPS,508596.0,190716.0,205400.0
720575940618574749,unknown,ACH,motor-related,GNG,432080.0,334168.0,92200.0
720575940618694484,visual,unknown,sensory,NO_CONS,201012.0,229032.0,148480.0
720575940618827910,unknown,unknown,motor-related,SPS.GNG,443364.0,333812.0,184080.0
720575940618932763,unknown,GLUT,inter,AVLP,652228.0,223588.0,104880.0
720575940618969758,unknown,ACH,inter,AVLP,680608.0,241856.0,37520.0
720575940619090785,Kenyon_Cell,ACH,inter,MB_CA.MB_VL,623344.0,174752.0,143760.0
720575940619109915,unknown,ACH,inter,AVLP,682208.0,247232.0,107880.0
720575940619130096,unknown,ACH,inter,AVLP,693416.0,295388.0,69840.0
720575940619173592,unknown,ACH,inter,LH.SLP,723136.0,211424.0,105840.0
720575940619185462,optic_lobe_intrinsic,ACH,inter,ME,221488.0,193996.0,165920.0
720575940619188577,unknown,ACH,inter,AVLP,333748.0,207516.0,111040.0
720575940619191966,unknown,GLUT,motor-related,GNG,552712.0,333424.0,168040.0
720575940619197366,LHLN,GABA,inter,LH,716336.0,185044.0,110600.0
720575940619315888,unknown,unknown,motor-related,IPS,517224.0,204268.0,201200.0
720575940619329957,unknown,GABA,inter,SAD,648216.0,324352.0,116000.0
720575940619420838,unknown,ACH,inter,LH.SMP,715616.0,139360.0,108680.0
720575940619530187,unknown,ACH,motor-related,GNG,646320.0,341364.0,148400.0
720575940619569835,unknown,GABA,inter,SAD,623856.0,213856.0,58800.0
720575940619729286,unknown,ACH,inter,AVLP,435124.0,235340.0,218480.0
720575940619984950,unknown,ACH,inter,GNG.IPS,613568.0,243712.0,215560.0
720575940620017261,unknown,ACH,motor-related,GNG,601796.0,357884.0,82600.0
720575940620068518,ALPN,ACH,inter,AL.MB_CA,406523.0,229272.0,67440.0
720575940620091294,unknown,GLUT,inter,SPS,478844.0,215504.0,186320.0
720575940620121223,unknown,GLUT,inter,LH.SLP,695740.0,164292.0,114600.0
720575940620124028,Kenyon_Cell,ACH,inter,MB_CA.MB_VL,624628.0,169832.0,143760.0
720575940620149469,mechanosensory,unknown,sensory,GNG,474516.0,363928.0,146520.0
720575940620183973,unknown,ACH,inter,WED.AVLP,651228.0,267940.0,133560.0
720575940620300308,unknown,ACH,motor-related,GNG,563892.0,359284.0,98200.0
720575940620304110,unknown,ACH,inter,SAD.WED,417864.0,293156.0,192080.0
720575940620537153,unknown,GABA,inter,GNG,524944.0,296184.0,236400.0
720575940620576609,unknown,ACH,inter,LH.SLP,723680.0,199680.0,79560.0
720575940620622452,unknown,ACH,inter,WED.AVLP,706488.0,226280.0,63240.0
720575940620714150,unknown,GABA,motor-related,GNG,540676.0,360812.0,193000.0
720575940620786431,unknown,ACH,inter,AVLP,345732.0,283908.0,122480.0
720575940620835327,unknown,GABA,inter,AVLP.SAD,514844.0,354516.0,207960.0
720575940620858606,unknown,ACH,inter,GNG.LAL,614120.0,241564.0,187080.0
720575940620866036,unknown,GABA,inter,WED.AMMC,407112.0,306492.0,124920.0
720575940620869717,unknown,ACH,inter,SPS.ME,549376.0,151008.0,180560.0
720575940620928647,AN,ACH,sensory,GNG,540044.0,333024.0,231920.0
720575940620943969,unknown,ACH,inter,AVLP,636804.0,251360.0,84200.0
720575940621000831,unknown,ACH,inter,AVLP,702072.0,256008.0,66440.0
720575940621065301,unknown,ACH,motor-related,GNG,412780.0,307840.0,193000.0
720575940621071203,Kenyon_Cell,ACH,inter,MB_CA.MB_ML,627404.0,166420.0,143760.0
720575940621148660,unknown,GABA,inter,WED,531824.0,300796.0,226720.0
720575940621242025,unknown,ACH,inter,SAD.WED,411940.0,253324.0,57680.0
720575940621268827,optic_lobe_intrinsic,GLUT,inter,ME,244276.0,204788.0,218280.0
720575940621277790,unknown,ACH,inter,AVLP,655636.0,210560.0,107400.0
720575940621292726,unknown,ACH,inter,PLP.SMP,692108.0,154872.0,181600.0
720575940621332833,visual,ACH,sensory,LA,106876.0,295776.0,183800.0
720575940621336852,unknown,GLUT,motor-related,GNG,565168.0,362536.0,94960.0
720575940621349797,optic_lobe_intrinsic,unknown,inter,LA,816720.0,237668.0,123240.0
720575940621457079,unknown,ACH,inter,WED,695408.0,165192.0,187360.0
720575940621504269,Kenyon_Cell,ACH,inter,MB_CA.MB_PED,630764.0,181272.0,143760.0
720575940621551854,ALLN,SER,inter,AL,594856.0,253408.0,46160.0
720575940621555603,unknown,ACH,inter,SAD.AVLP,706452.0,231140.0,60480.0
720575940621662332,unknown,GLUT,inter,FLA.SMP,545324.0,358140.0,99560.0
720575940621822043,unknown,GABA,inter,LH,712544.0,187680.0,110560.0
720575940621827419,unknown,ACH,inter,PRW.GNG,426128.0,305564.0,69160.0
720575940621835174,unknown,ACH,inter,GNG,414216.0,219400.0,200920.0
720575940621849015,unknown,ACH,inter,AVLP,333236.0,218184.0,105360.0
720575940621864965,Kenyon_Cell,ACH,inter,MB_CA.MB_ML,627748.0,165880.0,143760.0
720575940621875821,unknown,DA,inter,GNG,509184.0,363776.0,122080.0
720575940621902085,AN,GABA,sensory,GNG,530096.0,339492.0,231920.0
720575940621997034,unknown,GLUT,inter,IPS,551360.0,143904.0,164760.0
720575940622027222,unknown,GABA,motor-related,GNG,622416.0,342740.0,161200.0
